2018-05-26 15:00:19.584183	WET
2018-05-26 15:00:29.941918	WET
2018-05-26 15:01:11.602324	WET
2018-05-26 15:37:44.977420	WET
2018-05-26 15:42:25.317637	WET
2018-05-26 15:42:58.882332	WET
2018-05-26 15:49:43.572450	WET
2018-05-26 15:50:16.525056	WET
2018-05-26 15:53:20.044416	WET
2018-05-26 15:53:56.771240	WET
2018-05-26 15:56:13.374758	WET
2018-05-26 17:25:24.914846	WET
2018-05-26 20:07:47.711807	WET
2018-05-26 21:21:05.403711	WET
2018-05-26 21:25:57.799912	WET
2018-05-26 21:36:40.571178	WET
2018-05-26 21:49:09.997938	WET
2018-05-26 22:00:03.594275	WET
2018-05-26 23:00:04.089933	WET
2018-05-27 00:00:04.177310	WET
2018-05-27 01:00:03.661621	WET
2018-05-27 01:50:48.899694	WET
2018-05-27 01:59:17.151132	WET
2018-05-27 02:00:04.113552	WET
2018-05-27 02:01:02.872711	WET
2018-05-27 02:02:11.609461	WET
